Term,CRN,Subject,Course Number,TITLE,CREDIT_HOURS,Type,LOC,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Primary Instructor
Fall 2016,10123,PMD,120.101,Famly Med Grand Rnd,1,LEC,HOS ,,,,R,,,,"Daly, Richard"
Fall 2016,10124,PMD,130.101,Emrg Med Grand Rnd,1,LEC,HOS ,,T,,,,,,"Stephens, Matthew"
Fall 2016,10125,PMD,140.101,Emrg Med Grand Rnd,1,LEC,HOS ,,T,,,,,,"Stephens, Matthew"
Fall 2016,10126,PMD,230.101,Clinical Shadow I,2,CLN,HOS ,,,,,,,,"Emrhein, David"
Fall 2016,10127,PMD,310.801,Adv Human Anatomy,3,LEC,HOS ,,,,R,,,,"Monk, John"
Fall 2016,10128,RT,105.101,Medical Terminology,1,LEC,CH 203,M,,,,,,,"Werner, Connie"
Fall 2016,10129,RT,105.801,Medical Terminology,1,LEC,CH 221,M,,,,,,,"Werner, Connie"
Fall 2016,10130,RT,110.101,Oxy Ther and CPR,3,L/L,HOS ,,T,,R,,,,"Simmons, Mark"
Fall 2016,10131,RT,115.101,Bronchopul Hygiene,3,L/L,HOS ,M,,W,,F,,,"Newberry, Rachel"
Fall 2016,10132,RT,130.101,Pulmonary Disease,3,LEC,HOS ,M,,W,,,,,"Newberry, Rachel"
Fall 2016,10133,RT,150.101,Clinical Pract A,1,CLN,HOS ,M,,W,,,,,"Simmons, Mark"
Fall 2016,10134,RT,150.102,Clinical Pract A,1,CLN,HOS ,,T,,R,,,,"Newberry, Rachel"
Fall 2016,10135,RT,260.101,Clin Prac V,1,CLN,HOS ,M,,W,,,,,"Simmons, Mark"
Fall 2016,10136,RT,260.102,Clin Prac V,1,CLN,HOS ,,T,,R,,,,"Newberry, Rachel"
Fall 2016,10137,RT,320.101,Pulm Physio,3,LEC,HOS ,,T,,R,,,,"Simmons, Mark"
Fall 2016,10138,RT,410.101,Ind Study Resp Ther,1,LEC,HOS ,,,,,,,,"Simmons, Mark"
Fall 2016,10139,RT,415.101,Clin Prac IX,1,CLN,HOS ,,,,,,,,"Newberry, Rachel"
Fall 2016,10140,RT,420.101,Clin Prac X,1,CLN,HOS ,,,,,,,,"Simmons, Mark"
Fall 2016,10141,RT,450.101,Resp Ther Seminar,2,LEC,HOS ,,T,,R,,,,"Simmons, Mark"
Fall 2016,10142,CHM,104.101,Found of Chem,3,LEC,CH 103,,T,,R,,,,"Staff, "
Fall 2016,10143,CHM,122.101,Prin Gen/Org Chem,4,LEC,CH 223,M,,W,,F,,,"Dunstan, Marie"
Fall 2016,10144,CHM,122.102,Prin Gen/Org Chem,4,LEC,CH 223,M,,W,,F,,,"Dunstan, Marie"
Fall 2016,10145,CHM,122.103,Prin Gen/Org Chem,4,LEC,CH 223,M,,W,,F,,,"Dunstan, Marie"
Fall 2016,10146,CHM,123.501,Gen/Org Chem Lab,0,LAB,CH 110,M,,,,,,,"Staff, "
Fall 2016,10147,CHM,123.502,Gen/Org Chem Lab,0,LAB,CH 110,M,,,,,,,"Staff, "
Fall 2016,10148,CHM,123.503,Gen/Org Chem Lab,0,LAB,CH 110,,T,,,,,,"Staff, "
Fall 2016,10149,CHM,123.504,Gen/Org Chem Lab,0,LAB,CH 110,,,W,,,,,"Staff, "
Fall 2016,10150,CHM,130.101,1st Year Colloquium,1,LEC,CH 232,,T,,,,,,"Steel, William"
Fall 2016,10151,CHM,130.102,1st Year Colloquium,1,LEC,CH 232,,,,R,,,,"Steel, William"
Fall 2016,10152,CHM,134.101,Gen Chem I,4,LEC,CH 106,M,,W,,F,,,"Steel, William"
Fall 2016,10153,CHM,134.102,Gen Chem I,4,LEC,CH 103,M,,W,,F,,,"Moreland, Robert"
Fall 2016,10154,CHM,134.103,Gen Chem I,4,LEC,CH 227,M,,W,,F,,,"Steel, William"
Fall 2016,10155,CHM,134.104,Gen Chem I,4,LEC,CH 236,M,,W,,,,,"Peterman, Keith"
Fall 2016,10156,CHM,134.105,Gen Chem I,4,LEC,CH 103,M,,W,,F,,,"Steel, William"
Fall 2016,10157,CHM,134.106,Gen Chem I,4,LEC,LS 128,,T,,R,,,,"Fautch, Jessica"
Fall 2016,10158,CHM,134.107,Gen Chem I,4,LEC,CH 223,,T,,R,,,,"Foy, Gregory"
Fall 2016,10159,CHM,134.108,Gen Chem I,4,LEC,CH 103,,T,,R,,,,"Foy, Gregory"
Fall 2016,10160,CHM,134.109,Gen Chem I,4,LEC,CH 228,,T,,R,,,,"Peterman, Keith"
Fall 2016,10161,CHM,135.501,Gen Chem I Lab,0,LAB,CH 217,,T,,,,,,"Botterbusch, Melody"
Fall 2016,10162,CHM,135.502,Gen Chem I Lab,0,LAB,CH 217,,T,,,,,,"Reynolds, Brooke"
Fall 2016,10163,CHM,135.503,Gen Chem I Lab,0,LAB,CH 217,,T,,,,,,"Taylor, Donna"
Fall 2016,10164,CHM,135.504,Gen Chem I Lab,0,LAB,CH 217,,T,,,,,,"Taylor, Donna"
Fall 2016,10165,CHM,135.505,Gen Chem I Lab,0,LAB,CH 217,,,W,,,,,"Peterman, Keith"
Fall 2016,10166,CHM,135.506,Gen Chem I Lab,0,LAB,CH 217,,,W,,,,,"Glenwright, William"
Fall 2016,10167,CHM,135.507,Gen Chem I Lab,0,LAB,CH 217,,,W,,,,,"Diller, Keri"
Fall 2016,10168,CHM,135.508,Gen Chem I Lab,0,LAB,CH 217,,,,R,,,,"Staff, "
Fall 2016,10169,CHM,135.509,Gen Chem I Lab,0,LAB,CH 217,,,,R,,,,"Taylor, Donna"
Fall 2016,10170,CHM,135.51,Gen Chem I Lab,0,LAB,CH 217,,,,R,,,,"Glenwright, William"
Fall 2016,10171,CHM,135.511,Gen Chem I Lab,0,LAB,CH 217,,,,,F,,,"Staff, "
Fall 2016,10172,CHM,135.512,Gen Chem I Lab,0,LAB,CH 217,,,,,F,,,"Bolio, Allison"
Fall 2016,10173,CHM,135.513,Gen Chem I Lab,0,LAB,CH 217,,,,,F,,,"Glenwright, William"
Fall 2016,10174,CHM,136.101,Gen Chem II,4,LEC,CH 107,,T,,R,,,,"Peterman, Keith"
Fall 2016,10175,CHM,136.102,Gen Chem II,4,LEC,CH 103,,T,,R,,,,"Peterman, Keith"
Fall 2016,10176,CHM,137.501,Gen Chem II Lab,0,LAB,CH 217,M,,,,,,,"Taylor, Donna"
Fall 2016,10177,CHM,137.502,Gen Chem II Lab,0,LAB,CH 217,M,,,,,,,"Staff, "
Fall 2016,10178,CHM,137.503,Gen Chem II Lab,0,LAB,CH 217,M,,,,,,,"Glenwright, William"
Fall 2016,10179,CHM,202.101,Chem/Society,3,LEC,CH 103,M,,W,,,,,"Peterman, Keith"
Fall 2016,10180,CHM,203.501,Chem/Society Lab,0,LAB,STUDY ABRD,,,,,,,,"Peterman, Keith"
Fall 2016,10181,CHM,230.101,Chem Lit Colloquium,2,LEC,CH 207,M,,W,,,,,"Halligan, Kathleen"
Fall 2016,10182,CHM,234.101,Organic Chem I,4,LEC,CH 106,,T,,R,,,,"Halligan, Kathleen"
Fall 2016,10183,CHM,234.102,Organic Chem I,4,LEC,CH 106,,T,,R,,,,"Halligan, Kathleen"
Fall 2016,10184,CHM,234.103,Organic Chem I,4,LEC,CH 106,,T,,R,,,,"Fautch, Jessica"
Fall 2016,10185,CHM,234.104,Organic Chem I,4,LEC,CH 106,,T,,R,,,,"Fautch, Jessica"
Fall 2016,10186,CHM,235.501,Orgnc Chm I Lab,0,LAB,CH 207,M,,,,,,,"Halligan, Kathleen"
Fall 2016,10187,CHM,235.502,Orgnc Chm I Lab,0,LAB,CH 207,M,,,,,,,"Sigel, Gary"
Fall 2016,10188,CHM,235.503,Orgnc Chm I Lab,0,LAB,CH 207,,T,,,,,,"Leake, Jonathan"
Fall 2016,10189,CHM,235.504,Orgnc Chm I Lab,0,LAB,CH 207,,T,,,,,,"Amereihn, Kirstie"
Fall 2016,10190,CHM,235.505,Orgnc Chm I Lab,0,LAB,CH 207,,,W,,,,,"Fautch, Jessica"
Fall 2016,10191,CHM,235.506,Orgnc Chm I Lab,0,LAB,CH 207,,,W,,,,,"Leake, Jonathan"
Fall 2016,10192,CHM,236.101,Organic Chem II,4,LEC,CH 232,,T,,R,,,,"Halligan, Kathleen"
Fall 2016,10193,CHM,237.501,Org Chm II Lab,0,LAB,CH 207,,,W,,,,,"Williams, Matthew"
Fall 2016,10194,CHM,237.502,Org Chm II Lab,0,LAB,CH 207,,,,R,,,,"Leake, Jonathan"
Fall 2016,10195,CHM,240.101,Perspect/Molecular,3,LEC,CH 229,M,,W,,,,,"Steel, William"
Fall 2016,10196,CHM,240.102,Perspect/Molecular,3,LEC,CH 232,M,,,,F,,,"Foresman, James"
Fall 2016,10197,CHM,241.501,Persp/Molec Lab,0,LAB,CH 110,,,W,,,,,"Staff, "
Fall 2016,10198,CHM,241.502,Persp/Molec Lab,0,LAB,CH 110,,,,,F,,,"Staff, "
Fall 2016,10199,CHM,336.101,Quant Analy Chm,4,LEC,CH 107,M,,W,,,,,"Foy, Gregory"
Fall 2016,10200,CHM,337.501,Quant Chem Lab,0,LAB,CH 210,M,,W,,,,,"Foy, Gregory"
Fall 2016,10201,CHM,337.502,Quant Chem Lab,0,LAB,CH 210,M,,W,,,,,"Foy, Gregory"
Fall 2016,10202,CHM,344.101,Physical Chem I,4,LEC,CH 103,,T,,R,,,,"Foresman, James"
Fall 2016,10203,CHM,345.501,Phys Chem I Lab,0,LAB,CH 207,,T,,,,,,"Foresman, James"
Fall 2016,10204,CHM,444.101,Inorganic Chem,3,LEC,CH 103,,T,,R,,,,"Steel, William"
Fall 2016,10205,CHM,444.102,Inorganic Chem,3,LEC,CH 228,,T,,R,,,,"Steel, William"
Fall 2016,10206,FCM,200.101,Criminalistics,4,LEC,LS 304,M,,W,,F,,,"Opel, Kerry"
Fall 2016,10207,FCM,201.501,Criminalistics Lab,0,LAB,CH 210,M,,,,,,,"Oleyar, Carolyn"
Fall 2016,10208,FCM,201.502,Criminalistics Lab,0,LAB,CH 210,,T,,,,,,"Oleyar, Carolyn"
Fall 2016,10209,FCM,362.101,Crime Scene Process,3,LEC,LS 128,M,,W,,F,,,"Opel, Kerry"
Fall 2016,10210,FCM,380.101,Trace Evdnce Analys,3,LEC,CH 229,M,,W,,,,,"Opel, Kerry"
Fall 2016,10211,FCM,381.501,Trc Evid Anlys Lab,0,LAB,CH 210,,,,R,,,,"Opel, Kerry"
Fall 2016,10212,ESS,254.101,Local Perspect/Geo,3,LEC,CH 228,M,,W,,,,,"Kreiger, William"
Fall 2016,10213,ESS,254.102,Local Perspect/Geo,3,LEC,CH 228,,T,,R,,,,"Kreiger, William"
Fall 2016,10214,ESS,255.501,Local Perspect Lab,0,LAB,CH 108,M,,,,,,,"Kreiger, William"
Fall 2016,10215,ESS,255.502,Local Perspect Lab,0,LAB,CH 108,,T,,,,,,"Kreiger, William"
Fall 2016,10216,ESS,255.503,Local Perspect Lab,0,LAB,CH 108,,,W,,,,,"Kreiger, William"
Fall 2016,10217,ESS,255.504,Local Perspect Lab,0,LAB,CH 108,,,,R,,,,"Kreiger, William"
Fall 2016,10218,MAT,102.101,Prelim Math/Prob Solv,3,LEC,CH 227,M,,W,,F,,,"Orwig, John"
Fall 2016,10219,MAT,102.102,Prelim Math/Prob Solv,3,LEC,GH 103,,T,,R,,,,"Downs, Lisa"
Fall 2016,10220,MAT,104.101,Algebra Recitation,1,LEC,CH 205,,,W,,,,,"Breault, Holly"
Fall 2016,10221,MAT,104.102,Algebra Recitation,1,LEC,CH 205,,,W,,,,,"Breault, Holly"
Fall 2016,10222,G,100.101,World Reg Geography,3,LEC,HUM 143,M,,W,,F,,,"Pomeroy, Jennifer"
Fall 2016,10223,G,100.102,World Reg Geography,3,LEC,LS 128,,T,,R,,,,"Fyfe, David"
Fall 2016,10224,G,100.103,World Reg Geography,3,LEC,HUM 142,,T,,R,,,,"White, Kirk"
Fall 2016,10225,MAT,104.103,Algebra Recitation,1,LEC,CH 205,,,W,,,,,"Johnson, Ellen"
Fall 2016,10226,G,100.104,World Reg Geography,3,LEC,HUM 142,,T,,R,,,,"White, Kirk"
Fall 2016,10227,MAT,105.101,College Algebra,4,LEC,LS 102,M,,W,,F,,,"DeMarco, Lorie"
Fall 2016,10228,G,261.101,Intro Geo Info Sys,3,LEC,HUM 131,M,,W,,F,,,"Pomeroy, Jennifer"
Fall 2016,10229,G,261.801,Intro Geo Info Sys,3,LEC,HUM 131,,,W,,,,,"Pomeroy, Jennifer"
Fall 2016,10230,MAT,105.102,College Algebra,4,LEC,LS 102,M,,W,,F,,,"DeMarco, Lorie"
Fall 2016,10231,G,352.101,Perspct/Sustainblty,3,LEC,LS 127,,T,,R,,,,"Fyfe, David"
Fall 2016,10232,G,151.102,Intro Physical Geo,3,L/L,HUM 130,M,,W,,,,,"Pomeroy, Jennifer"
Fall 2016,10233,G,151.101,Intro Physical Geo,3,L/L,HUM 130,M,,W,,,,,"Pomeroy, Jennifer"
Fall 2016,10234,MAT,105.103,College Algebra,4,LEC,LS 102,M,,W,,F,,,"DeMarco, Lorie"
Fall 2016,10235,MAT,105.104,College Algebra,4,LEC,CH 231,,T,,R,,,,"Zmolek, Barbara"
Fall 2016,10236,HIS,101.101,Foundation/West,3,LEC,HUM 127,M,,W,,F,,,"Krug, Ilana"
